1,FEC_ID,STATE,STATE_ABBREVIATION,GENERAL_ELECTION_DATE,FIRST_NAME,LAST_NAME,LAST_NAME_FIRST,TOTAL_VOTES,PARTY,GENERAL_RESULTS,TOTAL_VOTES,GENERAL_PERCT,WINNER_INDICATOR
86,P20003984,District of Columbia,DC,11/6/2012,Jill,Stein,"Stein, Jill",,DCG,2458,,0.84%,
87,P20002671,District of Columbia,DC,11/6/2012,Gary,Johnson,"Johnson, Gary",,LIB,2083,,0.71%,
88,n/a,District of Columbia,DC,11/6/2012,,Scattered,Scattered,,W,772,,0.26%,
90,P80003338,Florida,FL,11/6/2012,Barack,Obama,"Obama, Barack",,D,4237756,,50.01%,W
91,P80003353,Florida,FL,11/6/2012,Mitt,Romney,"Romney, Mitt",,R,4163447,,49.13%,
92,P20002671,Florida,FL,11/6/2012,Gary,Johnson,"Johnson, Gary",,LBF,44726,,0.53%,
93,P20003984,Florida,FL,11/6/2012,Jill,Stein,"Stein, Jill",,GPF,8947,,0.11%,
94,P20002804,Florida,FL,11/6/2012,Roseanne,Barr,"Barr, Roseanne",,PFF,8154,,0.10%,
95,P80005655,Florida,FL,11/6/2012,Thomas Robert,Stevens,"Stevens, Thomas Robert",,OBF,3856,,0.05%,
96,P20004685,Florida,FL,11/6/2012,"Virgil H., Jr.",Goode,"Goode, Virgil H., Jr.",,CPF,2607,,0.03%,
97,P20004263,Florida,FL,11/6/2012,"Ross C. ""Rocky""",Anderson,"Anderson, Ross C. ""Rocky""",,JPF,1754,,0.02%,
98,P20005260,Florida,FL,11/6/2012,Tom,Hoefling,"Hoefling, Tom",,APF,946,,0.01%,
99,P20002697,Florida,FL,11/6/2012,Andre,Barnett,"Barnett, Andre",,REF,820,,0.01%,
100,P20003968,Florida,FL,11/6/2012,Stewart,Alexander,"Alexander, Stewart",,SFL,799,,0.01%,
101,P20004636,Florida,FL,11/6/2012,Peta,Lindsay,"Lindsay, Peta",,SLF,322,,0.00%,
102,P20003208,Florida,FL,11/6/2012,Jill,Reed,"Reed, Jill",,W,36,,0.00%,
103,P20005252,Florida,FL,11/6/2012,Richard,Duncan,"Duncan, Richard",,W,3,,0.00%,
104,P20004651,Florida,FL,11/6/2012,Stephen G.,Durham,"Durham, Stephen G.",,W,3,,0.00%,
