"","South_Dakota_Counties","Democrat","Republican","Others","Year","Voter_turnout_percent","dem_percent","rep_percent","others_percent","County_IND"
"95","Hand",718,1247,46,2008,75.39,36.5394402035623,63.4605597964377,2.34096692111959,29
"96","Hanson",961,1426,44,2008,69.36,40.2597402597403,59.7402597402597,1.84331797235023,30
"97","Harding",135,575,24,2008,78.99,19.0140845070423,80.9859154929577,3.38028169014084,31
"98","Hughes",3037,5298,133,2008,76.77,36.4367126574685,63.5632873425315,1.59568086382723,32
"99","Hutchinson",1242,2285,81,2008,70.38,35.2140629430111,64.7859370569889,2.29656932237029,33
"100","Hyde",226,547,12,2008,74.2,29.2367399741268,70.7632600258732,1.55239327296248,34
"101","Jackson",435,668,30,2008,66.47,39.4378966455122,60.5621033544878,2.71985494106981,35
"102","Jerauld",542,546,17,2008,72.16,49.8161764705882,50.1838235294118,1.5625,36
"103","Jones",147,463,17,2008,78.9,24.0983606557377,75.9016393442623,2.78688524590164,37
"104","Kingsbury",1277,1435,72,2008,75.31,47.0870206489676,52.9129793510325,2.65486725663717,38
"105","Lake",3033,2993,131,2008,76.32,50.3318951211417,49.6681048788583,2.17391304347826,39
"106","Lawerence",4932,6787,336,2008,71.97,42.0855021759536,57.9144978240464,2.86713883437153,40
"107","Lincoln",8642,11803,322,2008,78.42,42.2695035460993,57.7304964539007,1.57495720224994,41
"108","Lyman",710,894,37,2008,65.73,44.2643391521197,55.7356608478803,2.30673316708229,42
"109","Marshall",1219,1646,80,2008,72.78,42.5479930191972,57.4520069808028,2.79232111692845,43
"110","McCook",1219,1646,80,2008,74.21,42.5479930191972,57.4520069808028,2.79232111692845,44
"111","McPherson",441,915,19,2008,71.45,32.5221238938053,67.4778761061947,1.40117994100295,45
"112","Meade",1261,900,30,2008,74.45,58.35261453031,41.64738546969,1.388246182323,46
"113","Mellette",3751,7515,340,2008,64.68,33.2948695189064,66.7051304810936,3.01793005503284,47
"114","Miner",373,445,25,2008,71.34,45.59902200489,54.40097799511,3.05623471882641,48
"115","Minnehaha",605,577,36,2008,76.24,51.1844331641286,48.8155668358714,3.04568527918782,49
"116","Moody",39838,39251,1463,2008,74.51,50.3711009116312,49.6288990883688,1.84981476564377,50
"117","Pennington",1663,1508,83,2008,74.5,52.4440239672028,47.5559760327972,2.61747082939136,51
"118","Perkins",499,1102,85,2008,76.28,31.1680199875078,68.8319800124922,5.30918176139913,52
"119","Potter",482,937,21,2008,76.86,33.9675828047921,66.0324171952079,1.47991543340381,53
"120","Roberts",2672,1781,83,2008,68.02,60.0044913541433,39.9955086458567,1.86391196945879,54
"121","Sanbron",500,669,38,2008,68.07,42.7715996578272,57.2284003421728,3.25064157399487,55
"122","Shannon",2971,331,48,2008,42.59,89.9757722592368,10.0242277407632,1.45366444579043,56
"123","Spink",1550,1660,59,2008,73,48.2866043613707,51.7133956386293,1.83800623052959,57
"124","Stanely",510,1017,26,2008,75.11,33.3988212180747,66.6011787819253,1.70268500327439,58
"125","Sully",233,581,19,2008,79.31,28.6240786240786,71.3759213759214,2.33415233415233,59
"126","Todd",2208,571,49,2008,51.5,79.4530406621087,20.5469593378913,1.7632241813602,60
"127","Tripp",914,1859,66,2008,72.91,32.9606923909124,67.0393076090876,2.38009376126938,61
"128","Turner",1681,2538,133,2008,75.23,39.8435648257881,60.1564351742119,3.15240578336099,62
"129","Union",3244,4310,147,2008,74.37,42.9441355573206,57.0558644426794,1.94598888006354,63
"130","Walworth",923,1668,59,2008,70.27,35.6233114627557,64.3766885372443,2.27711308375145,64
"131","Yankton",4838,5039,257,2008,74.47,48.9824845600891,51.0175154399109,2.6020046572846,66
"132","Ziebach",554,312,25,2008,57.92,63.9722863741339,36.0277136258661,2.88683602771363,67
"133","Aurora",620,1009,20,2004,81.01,38.0601596071209,61.9398403928791,1.22774708410068,1
"134","Beadle",3443,4917,120,2004,76.07,41.1842105263158,58.8157894736842,1.43540669856459,2
"135","Bennett",759,833,38,2004,70.08,47.6758793969849,52.3241206030151,2.38693467336683,3
"136","Bon Homme",1293,2063,52,2004,81.7,38.5280095351609,61.4719904648391,1.54946364719905,4
"137","Brookings",5443,7662,270,2004,78.68,41.5337657382678,58.4662342617322,2.06028233498665,5
"138","Brown",7943,10386,270,2004,79.79,43.3356975285067,56.6643024714933,1.47307545419826,6
"139","Brule",1040,1544,45,2004,76.14,40.2476780185758,59.7523219814242,1.74148606811146,7
"140","Buffalo",603,223,15,2004,75.95,73.0024213075061,26.9975786924939,1.81598062953995,8
"141","Butte",1009,3166,96,2004,74.26,24.1676646706587,75.8323353293413,2.29940119760479,9
"142","Campbell",239,708,12,2004,77.9,25.2375923970433,74.7624076029567,1.26715945089757,10
